yellow 	   colour ,  color   | 0.0 | .1 | 2
replace 	   renew ,  supplant ,  succeed* ,  follow ,  substitute ,  exchange ,  change ,  interchange ,  put ,  set ,  place ,  pose ,  position ,  lay ,  shift ,  reduce ,  oust ,  convert ,  displace ,  commute ,  retool   | 0.0 | .1 | 14
foul^ 	   hit ,  pollute ,  dirty ,  soil ,  clog ,  congest ,  choke^ ,  obstruct ,  impede ,  jam ,  block ,  play ,  disgrace* ,  dishonour ,  shame ,  change ,  stuff ,  hack ,  lug ,  infect ,  defile   | -1.0 | .1 | 18
bring 	   convey ,  take ,  transport ,  carry ,  change ,  alter ,  modify ,  work ,  play ,  wreak ,  make ,  create ,  get ,  fetch ,  transmit ,  transfer ,  channel ,  channelise ,  land ,  lend ,  bestow ,  contribute* ,  add ,  institute ,  attract ,  pull ,  draw ,  induce ,  stimulate ,  cause ,  have ,  return ,  retrieve ,  deliver ,  tube ,  conduct ,  transit   | 0.0 | .1 | 44
pile 	   stack ,  heap ,  arrange ,  throng ,  mob ,  pack ,  jam ,  crowd ,  put ,  set ,  place ,  pose ,  position ,  lay ,  cord ,  rick   | 0.0 | .1 | 14
persist 	   prevail ,  run ,  endure ,  continue ,  uphold ,  preserve* ,  remain ,  stay ,  follow ,  linger ,  stick ,  plug   | 0.0 | .1 | 9
charter 	   rent ,  hire ,  lease ,  contract ,  undertake ,  license ,  licence ,  certify ,  engage ,  take ,  get ,  acquire   | 0.0 | .1 | 15
tire 	   fatigue ,  deteriorate ,  drop ,  wear ,  exhaust ,  consume ,  eat ,  deplete ,  bore ,  tire ,  withdraw ,  beat ,  retire   | 0.0 | .1 | 12
reopen 	   open   | 0.0 | .1 | 1
pulse 	   beat ,  pound ,  thump ,  produce ,  make ,  create ,  move ,  displace   | 0.0 | .1 | 8
consist 	   lie ,  belong ,  exist ,  be ,  match ,  fit ,  correspond ,  check ,  gibe ,  tally ,  agree ,  comprise ,  pertain   | 0.0 | .1 | 14
second 	   back ,  endorse ,  support ,  transfer   | 0.0 | .1 | 4
chart 	   map ,  plan ,  graph ,  represent ,  interpret   | 0.0 | .1 | 5
sustain* 	   prolong ,  continue ,  uphold ,  preserve* ,  suffer ,  have ,  get ,  experience ,  receive ,  undergo ,  nourish ,  nurture ,  provide ,  supply ,  ply ,  cater ,  keep ,  maintain ,  hold ,  support ,  admit ,  acknowledge ,  confirm ,  corroborate ,  affirm ,  shore ,  collapse^ ,  show ,  retain ,  prove ,  establish ,  pole ,  back ,  carry ,  block ,  demonstrate ,  vouch ,  document ,  crack ,  buoy ,  verify ,  prop ,  validate ,  chock ,  brace ,  underpin   | 1.0 | .1 | 30
sail 	   travel ,  journey ,  sweep ,  move ,  boat ,  voyage ,  navigate ,  rack ,  point ,  run ,  beat ,  swan ,  tack ,  weather   | 0.0 | .1 | 9
buzz 	   sound ,  go ,  fly ,  wing ,  hum ,  seethe ,  be ,  summon ,  swarm ,  teem   | 0.0 | .1 | 8
loathe^ 	   hate^   | -1.0 | .1 | 1
defer 	   postpone ,  table ,  shelve ,  delay ,  submit ,  bow ,  accede ,  yield ,  succumb ,  hold ,  suspend ,  respite ,  call   | 0.0 | .1 | 9
widen 	   increase ,  change ,  alter ,  vary ,  modify ,  broaden ,  extend ,  stretch ,  flare ,  globalise   | 0.0 | .1 | 10
cook 	   fix ,  ready ,  make ,  prepare ,  change ,  alter ,  modify ,  manipulate ,  fake ,  falsify ,  cheat^ ,  keep ,  preserve* ,  brown ,  boil ,  dress ,  microwave ,  steam ,  stew ,  coddle ,  juggle ,  bake ,  concoct ,  poach ,  devil ,  fry   | 0.0 | .1 | 11
contribute* 	   lend ,  bestow ,  add ,  bring ,  change ,  alter ,  modify ,  give ,  lead ,  promote ,  advance ,  boost ,  further ,  encourage* ,  pay ,  combine   | 1.0 | .1 | 16
finger 	   thumb ,  touch ,  feel ,  search ,  seek ,  indicate ,  point ,  show   | 0.0 | .1 | 8
design 	   plan ,  project ,  intend ,  destine ,  designate ,  specify ,  create ,  make ,  conceive ,  mean ,  think ,  engineer ,  tailor ,  draft ,  blueprint ,  concert ,  cut ,  map ,  redesign   | 0.0 | .1 | 15
increase 	   change ,  alter ,  modify ,  widen ,  climb ,  wax ,  expand* ,  appreciate* ,  extend ,  raise ,  boost ,  swell ,  stretch ,  amplify ,  full ,  enlarge ,  deepen ,  rise ,  gather ,  compound ,  escalate ,  lengthen ,  gain ,  conglomerate ,  add ,  up ,  heighten ,  build ,  inflate ,  grow ,  broaden ,  maximize ,  multiply ,  revalue ,  advance ,  mount ,  spike ,  accumulate ,  intensify ,  augment ,  kite ,  explode ,  rev   | 0.0 | .1 | 3
shock 	   stun ,  floor ,  surprise ,  offend ,  outrage ,  disgust ,  revolt^ ,  dismay ,  alarm ,  clash ,  gather ,  garner ,  collect ,  treat ,  traumatise ,  injure ,  wound ,  startle   | 0.0 | .1 | 17
misjudge 	   mistake ,  slip ,  underestimate   | 0.0 | .1 | 2
avert 	   deflect ,  avoid ,  prevent ,  forestall ,  foreclose^ ,  preclude ,  forbid ,  turn   | 0.0 | .1 | 8
splinter 	   secede^ ,  separate ,  part ,  split ,  break ,  divide ,  fragment   | 0.0 | .1 | 9
report 	   describe ,  account ,  inform ,  announce ,  cover ,  complain ,  kick ,  plain   | 0.0 | .1 | 11
personalise 	   personalize ,  change ,  alter ,  modify   | 0.0 | .1 | 4
cart 	   haul ,  drag ,  pull ,  draw ,  force ,  transport ,  carry   | 0.0 | .1 | 7
kid 	   dupe ,  fool ,  jolly ,  josh ,  rag ,  bait ,  taunt ,  rally ,  ride   | 0.0 | .1 | 9
elaborate 	   enlarge ,  expand* ,  clarify ,  produce ,  make ,  create ,  complicate ,  refine ,  change ,  alter ,  modify ,  develop ,  detail ,  specialise ,  involve ,  illustrate ,  instance ,  exemplify ,  specialize ,  sophisticate ,  specify   | 0.0 | .1 | 12
climb 	   mount ,  rise ,  lift ,  arise* ,  uprise ,  move ,  wax ,  increase ,  slope ,  incline ,  pitch ,  progress* ,  advance ,  grow ,  escalade ,  soar ,  ride ,  ramp ,  gain ,  scale ,  jump ,  struggle ,  skin ,  scramble ,  bull   | 0.0 | .1 | 17
ground 	   anchor ,  fix ,  secure ,  restrain ,  confine ,  hold ,  put ,  set ,  place ,  pose ,  position ,  lay ,  teach ,  learn ,  instruct ,  make ,  attain ,  hit ,  gain ,  throw ,  prime ,  paint ,  connect ,  link ,  tie ,  establish ,  base ,  found ,  build ,  earth   | 0.0 | .1 | 30
grind 	   crunch ,  press ,  grate ,  fragment ,  mash ,  labor ,  labour ,  dig ,  work ,  dance ,  make ,  create ,  shape ,  form ,  forge ,  mill ,  jaw   | 0.0 | .1 | 18
explain 	   inform ,  state ,  say ,  tell ,  excuse ,  justify ,  vindicate ,  clarify ,  comment ,  interpret   | 0.0 | .1 | 7
cheat^ 	   shaft ,  screw ,  beat ,  crush ,  shell ,  vanquish ,  betray ,  wander ,  cook ,  fake ,  rob ,  job ,  falsify ,  manipulate ,  rig ,  hook ,  con ,  pluck ,  juggle ,  soak ,  surcharge ,  welsh ,  shark ,  scam ,  whipsaw ,  beguile   | -1.0 | .1 | 8
speak 	   talk ,  utter ,  mouth ,  communicate ,  address ,  sound ,  snap ,  spout ,  shout ,  butterfly ,  whiff ,  murmur ,  falter ,  read ,  level ,  continue ,  deliver ,  mumble ,  romance ,  drone ,  chant ,  enthuse ,  present ,  chatter ,  begin ,  jaw ,  tone ,  sing ,  proceed ,  blunder ,  mash ,  whisper ,  bumble ,  discourse ,  swallow ,  cheek   | 0.0 | .1 | 10
overshadow 	   eclipse ,  excel ,  surpass ,  shadow ,  dwarf ,  dominate ,  command ,  overlook ,  obscure ,  fog ,  cloud ,  mist   | 0.0 | .1 | 12
marginalise 	   marginalize ,  interact   | 0.0 | .1 | 2
strike 	   hit ,  touch ,  affect ,  impress ,  move ,  attack ,  assail ,  read ,  register ,  show ,  record ,  impact ,  protest ,  resist ,  dissent ,  fall ,  shine ,  happen ,  occur ,  pass ,  achieve ,  accomplish* ,  attain ,  reach ,  shape ,  form ,  discover ,  find ,  regain ,  make ,  create ,  scratch ,  excise ,  cancel ,  displace ,  assume ,  take ,  mint ,  coin ,  level ,  even ,  solve ,  work ,  whip ,  spur ,  bottom ,  smash ,  trouble ,  bump ,  buffet ,  lash ,  pick ,  knock ,  surprise ,  bang ,  beat ,  peck ,  jar ,  infect ,  clout ,  cloud ,  stroke ,  connect ,  upset ,  tap ,  tip ,  pierce ,  slice ,  retaliate ,  awaken ,  batter ,  ping ,  jab ,  stir ,  spat ,  disturb ,  clash ,  smite   | 0.0 | .1 | 55
herald 	   announce ,  harbinger ,  foretell ,  tell ,  acclaim ,  hail ,  greet ,  recognize   | 0.0 | .1 | 9
expire^ 	   die ,  go ,  exit ,  pass ,  conk ,  choke^ ,  turn ,  breathe ,  fall ,  starve ,  suffocate ,  yield ,  blow ,  drown ,  stifle ,  succumb   | -1.0 | .1 | 8
standardize 	   regulate ,  order ,  govern ,  measure ,  evaluate ,  assess ,  value ,  gauge   | 0.0 | .1 | 7
hurt^ 	   smart ,  pain ,  anguish ,  upset ,  injure ,  damage^ ,  wound ,  bruise ,  offend ,  spite ,  arouse ,  elicit ,  kindle ,  evoke ,  fire ,  raise ,  provoke ,  suffer ,  perceive ,  be ,  choke^ ,  trouble ,  bite ,  starve ,  burn ,  have ,  suffocate ,  torture ,  rack ,  sting ,  humble ,  catch ,  try ,  ail ,  kill ,  shoot ,  get ,  strangle ,  afflict ,  diss ,  torment ,  twinge   | -1.0 | .1 | 22
glass 	   glaze ,  supply ,  provide ,  furnish ,  scan ,  insert ,  introduce ,  change   | 0.0 | .1 | 9
tie 	   bind ,  fix ,  secure ,  draw ,  equal ,  match ,  equate ,  restrict ,  restrain ,  limit ,  bound ,  confine ,  connect ,  link ,  shape ,  form ,  attach ,  bond ,  relate ,  marry ,  wed ,  fashion ,  forge ,  ground ,  lash ,  cord ,  join ,  band ,  rope ,  strap ,  hitch ,  leash ,  bridge ,  fixate ,  lace ,  loop   | 0.0 | .1 | 26
hole 	   hit   | 0.0 | .1 | 1
hold 	   throw ,  have ,  make ,  give ,  direct ,  keep ,  maintain ,  restrain ,  confine ,  disable ,  incapacitate ,  bear ,  deem ,  see ,  consider ,  reckon ,  view ,  regard ,  carry ,  contain ,  include ,  control ,  check ,  curb ,  moderate ,  suppress ,  continue ,  proceed ,  harbor ,  entertain ,  nurse ,  feel ,  experience ,  affirm ,  verify ,  assert ,  aver ,  swan ,  swear ,  think ,  believe ,  conceive ,  retain ,  support ,  sustain* ,  capture ,  catch ,  captivate* ,  beguile ,  charm ,  fascinate* ,  entrance ,  enchant ,  accommodate ,  admit ,  take ,  be ,  prevail ,  obtain ,  exist ,  command ,  defend ,  guard ,  protect ,  declare ,  evaluate ,  judge ,  halt ,  arrest ,  stop ,  oblige ,  bind ,  obligate ,  relate ,  cover ,  drink ,  booze ,  apply ,  refer ,  pertain ,  concern ,  touch ,  reserve ,  book ,  request ,  bespeak ,  quest ,  defy ,  withstand ,  resist ,  prevent ,  postpone ,  table ,  shelve ,  defer ,  aim ,  train ,  agree ,  grant ,  ground ,  lock ,  shore ,  ring ,  concede^ ,  circle ,  preserve* ,  clutch ,  save ,  resolve ,  pole ,  label ,  cancel ,  saint ,  stock ,  distance ,  pound ,  yield ,  behave ,  pronounce ,  reconcile ,  pledge ,  block ,  exert ,  conclude ,  conserve ,  house ,  buoy ,  prop ,  deny ,  balance ,  article ,  stockpile ,  surround ,  settle ,  trap ,  counteract ,  cradle ,  limit ,  round ,  call ,  restrict ,  fold ,  uphold ,  conquer ,  bound ,  acknowledge ,  seat ,  certify ,  conduct ,  arrange ,  pressurise ,  sleep ,  chock ,  brace ,  brave ,  poise ,  subdue ,  wield ,  endure ,  underpin ,  subscribe ,  weather   | 0.0 | .1 | 122
lock 	   fix ,  secure ,  engage ,  mesh ,  operate ,  move ,  displace ,  hold ,  hug ,  bosom ,  squeeze ,  overwhelm ,  whelm ,  overcome ,  overtake ,  confine ,  pass ,  construct ,  build ,  make ,  ride ,  throw ,  switch   | 0.0 | .1 | 21
pursue 	   prosecute ,  engage ,  act ,  move ,  follow ,  travel ,  go ,  search ,  seek ,  react ,  oppose ,  chase ,  track ,  tail ,  trail ,  haunt ,  dog ,  close ,  tag   | 0.0 | .1 | 12
plunge 	   dive ,  plunk ,  descend ,  fall ,  dart ,  dash ,  scoot ,  flash ,  shoot ,  launch ,  begin ,  get ,  start ,  commence ,  dump ,  drop ,  dip ,  douse ,  steep ,  engulf ,  engross ,  absorb ,  concentrate ,  focus ,  center ,  centre ,  rivet ,  parachute ,  drink ,  dabble ,  jump ,  soak ,  duck   | 0.0 | .1 | 27
nationalize 	   nationalise ,  change ,  alter ,  modify   | 0.0 | .1 | 8
organize 	   form ,  organise ,  make ,  create ,  manage ,  deal ,  care ,  handle ,  engineer ,  direct ,  plan ,  coordinate ,  arrange ,  prepare ,  devise ,  initiate ,  pioneer ,  join ,  lay ,  structure ,  order ,  regroup ,  rationalize ,  reorganise ,  mount ,  put ,  syndicate ,  mesh ,  reorganize ,  sandwich   | 0.0 | .1 | 23
frown 	   lower   | 0.0 | .1 | 1
caution 	   warn   | 0.0 | .1 | 1
want 	   desire ,  need ,  require ,  be ,  demand ,  search ,  seek ,  miss ,  lack ,  crave ,  ambition ,  cry ,  care ,  starve ,  yearn ,  spoil ,  hope ,  lust ,  like ,  envy ,  wish ,  begrudge ,  long ,  fancy   | 0.0 | .1 | 9
shield 	   screen ,  protect ,  harbor ,  hide ,  conceal   | 0.0 | .1 | 5
travel 	   go ,  move ,  journey ,  trip ,  navigate ,  sail ,  pursue ,  wing ,  precede ,  ship ,  range ,  come ,  lurch ,  hasten* ,  circle ,  roll ,  lift ,  play ,  ease ,  step ,  creep ,  derail^ ,  push ,  fall ,  spurt ,  angle ,  turn ,  wind ,  walk ,  rush ,  return ,  trail ,  float ,  accompany ,  pass ,  follow ,  drift ,  drive ,  drag ,  surpass ,  race ,  back ,  withdraw ,  continue ,  bounce ,  repair ,  crank ,  carry ,  slide ,  do ,  wander ,  swap ,  blow ,  sift ,  ride ,  sit ,  draw ,  ascend ,  swim ,  plough ,  bang ,  flock ,  run ,  steam ,  wheel ,  retreat ,  automobile ,  weave ,  change ,  spread ,  transfer ,  ramble ,  recede ,  taxi ,  speed ,  hurtle ,  circuit ,  breeze ,  progress* ,  voyage ,  pace ,  zoom ,  shack ,  jump ,  seek ,  career ,  proceed ,  round ,  swan ,  advance ,  resort ,  visit ,  scramble ,  tour ,  retire ,  motor ,  commute ,  forge ,  thread ,  raft ,  crawl ,  glide ,  arise* ,  cast ,  stray ,  swing ,  ghost ,  roam ,  ply ,  lead ,  descend ,  fly ,  tread ,  uprise ,  circulate ,  whistle ,  hurry ,  lance   | 0.0 | .1 | 12
damage^ 	   change ,  alter ,  modify ,  hurt^ ,  smash ,  fret ,  total ,  burn ,  flaw ,  rust ,  spoil ,  break ,  mangle ,  bruise ,  eat ,  mar ,  afflict ,  injure ,  disturb ,  erode ,  smite   | -1.0 | .1 | 3
revisit 	   return   | 0.0 | .1 | 1
machine 	   shape ,  form ,  work ,  forge ,  produce ,  make ,  create   | 0.0 | .1 | 7
chase 	   trail ,  tail ,  tag ,  track ,  pursue ,  follow ,  woo ,  court ,  romance ,  cut ,  tree ,  hunt ,  quest ,  dog ,  trace   | 0.0 | .1 | 11
classify 	   class ,  sort ,  assort ,  separate ,  categorize ,  restrict ,  relegate ,  assign ,  attribute ,  stamp ,  group ,  refer ,  catalogue ,  number ,  count ,  size ,  grade ,  stereotype   | 0.0 | .1 | 9
backpedal 	   bicycle ,  cycle ,  bike ,  wheel ,  step ,  rethink   | 0.0 | .1 | 6
game 	   back ,  stake ,  bet ,  play   | 0.0 | .1 | 4
summon 	   cite ,  call ,  muster ,  rally ,  gather ,  garner ,  collect ,  mobilize ,  mobilise ,  marshal ,  buzz ,  demand ,  page ,  beckon ,  vouch ,  convene   | 0.0 | .1 | 14
outlaw 	   forbid ,  prohibit^ ,  veto ,  disallow ,  ban ,  censor   | 0.0 | .1 | 4
shore 	   bound ,  border ,  land ,  get ,  come ,  prop ,  hold ,  support ,  sustain* ,  bolster   | 0.0 | .1 | 9
destine 	   fate ,  doom ,  designate ,  ordain ,  intend ,  specify ,  plan ,  design ,  slate ,  mean ,  calculate ,  aim ,  direct   | 0.0 | .1 | 8
charleston 	   dance   | 0.0 | .1 | 1
outcry 	   surpass ,  outgo ,  exceed ,  outdo ,  outperform ,  cry ,  shout ,  express ,  utter   | 0.0 | .1 | 9
type 	   write ,  identify ,  shift   | 0.0 | .1 | 2
culminate* 	   climax ,  end ,  stop ,  finish ,  terminate ,  cease ,  achieve ,  accomplish* ,  attain ,  reach ,  make ,  hit ,  gain ,  form ,  crown ,  top   | 1.0 | .1 | 18
choke^ 	   breathe ,  fret ,  squeeze ,  compact ,  contract ,  press ,  strangle ,  suffocate ,  suffer ,  hurt^ ,  fail^ ,  neglect ,  suppress ,  clog ,  congest ,  foul^ ,  obstruct ,  impede ,  jam ,  block ,  stifle ,  become ,  turn ,  die ,  go ,  exit ,  expire^ ,  pass ,  conk ,  enrich ,  fall ,  stuff ,  starve ,  yield ,  lug ,  drown ,  succumb   | -1.0 | .1 | 48
win* 	   acquire ,  gain ,  get ,  advance ,  succeed* ,  score* ,  work ,  accomplish* ,  arrive ,  take ,  pass ,  prevail ,  hit ,  tally ,  carry ,  sweep ,  triumph ,  run ,  steal ,  act ,  clear ,  manage ,  achieve ,  reach ,  peg ,  nail ,  attain   | 1.0 | .1 | 7
revolt^ 	   rebel ,  arise* ,  rise ,  disgust ,  stimulate ,  excite ,  stir ,  shock ,  outrage ,  offend   | -1.0 | .1 | 8
preside 	   control ,  command   | 0.0 | .1 | 2
keep 	   maintain ,  hold ,  continue ,  proceed ,  act ,  move ,  have ,  prevent ,  observe ,  record ,  enter ,  accommodate ,  retain ,  prolong ,  sustain* ,  stay ,  remain ,  rest ,  celebrate ,  restrain ,  suppress ,  preserve* ,  protect ,  grow ,  raise ,  farm ,  produce ,  save ,  reserve ,  book ,  store ,  confine ,  detain ,  cook ,  fix ,  ready ,  make ,  prepare ,  salt ,  curb ,  cure ,  refuse ,  defend ,  distance ,  contain ,  can ,  harbor ,  carry ,  shut ,  ride ,  conserve ,  check ,  deny ,  mark ,  exclude ,  blank ,  withhold ,  control ,  commemorate ,  uphold ,  recoup ,  moderate ,  pressurise ,  corn ,  deduct ,  impede   | 0.0 | .1 | 58
wing 	   fly ,  travel ,  go ,  move ,  buzz ,  rack ,  soar ,  hover ,  flight   | 0.0 | .1 | 4
wine 	   drink ,  booze ,  treat   | 0.0 | .1 | 3
undo 	   turn ,  reverse ,  unmake ,  ruin ,  loosen ,  change ,  alter ,  modify ,  uncover ,  expose ,  open ,  destroy ,  unfold ,  spread ,  unwind   | 0.0 | .1 | 10
vary 	   change ,  alter ,  diverge ,  depart ,  differ ,  diversify ,  widen ,  adapt* ,  specialise ,  drift ,  belie ,  move ,  break ,  broaden ,  crackle ,  jump ,  specialize ,  narrow ,  alternate ,  accommodate ,  negate   | 0.0 | .1 | 7
partner 	   supply ,  provide ,  furnish ,  act ,  move   | 0.0 | .1 | 5
outdo 	   surpass ,  outgo ,  exceed ,  outperform ,  beat ,  crush ,  shell ,  vanquish ,  trump ,  best ,  scoop ,  outcry ,  overreach ,  break ,  better ,  shame ,  outweigh ,  outshine ,  outpace   | 0.0 | .1 | 15
introvert 	   change ,  alter ,  modify   | 0.0 | .1 | 3
reward* 	   honour ,  recognize ,  reinforce ,  teach ,  learn ,  instruct ,  repay ,  act ,  move ,  toast ,  dignify ,  decorate ,  pledge ,  drink ,  salute   | 1.0 | .1 | 9
subordinate 	   rate ,  rank ,  range ,  order ,  grade ,  place ,  subdue ,  lower   | 0.0 | .1 | 8
scream 	   shout ,  cry ,  call ,  squall ,  utter ,  emit ,  resound ,  noise ,  whoop ,  roar ,  pipe ,  wail   | 0.0 | .1 | 9
secede^ 	   splinter ,  separate ,  part ,  split ,  break   | -1.0 | .1 | 5
hide 	   conceal ,  cover ,  envelop ,  wrap ,  obscure ,  veil ,  change ,  alter ,  modify ,  shield ,  disguise ,  bury ,  secrete ,  fog ,  harbor ,  block ,  lurk ,  mist ,  cloud ,  bosom ,  obstruct ,  earth   | 0.0 | .1 | 9
copy 	   write ,  imitate ,  simulate ,  reproduce ,  replicate ,  double ,  repeat ,  make ,  create ,  model ,  follow ,  pattern ,  mock ,  trace ,  mimic ,  clone   | 0.0 | .1 | 10
slate 	   intend ,  destine ,  designate ,  specify ,  register ,  roof   | 0.0 | .1 | 6
effect 	   cause ,  do ,  make ,  act ,  move ,  hasten* ,  accomplish* ,  rush ,  action ,  carry ,  fulfill ,  stimulate ,  draw ,  execute ,  serve ,  fulfil ,  get ,  induce   | 0.0 | .1 | 5
school 	   educate ,  train ,  cultivate ,  civilize ,  polish ,  refine ,  down ,  swim ,  sophisticate   | 0.0 | .1 | 9
comprise 	   consist ,  be ,  incorporate ,  contain ,  include ,  constitute ,  represent ,  range ,  pose ,  form ,  make ,  supplement ,  present   | 0.0 | .1 | 8
silver 	   plate ,  color ,  colour   | 0.0 | .1 | 5
rumour 	   rumor   | 0.0 | .1 | 1
represent 	   correspond ,  equal ,  be ,  mean ,  intend ,  serve ,  express ,  utter ,  exemplify ,  constitute ,  comprise ,  defend ,  interpret ,  act ,  play ,  stage ,  present ,  describe ,  depict ,  draw ,  state ,  say ,  tell ,  map ,  commute ,  transpose ,  chart ,  spin ,  range ,  show ,  argue^ ,  pose ,  support ,  model ,  pretend ,  form ,  reason ,  belie ,  make ,  paint ,  place ,  indicate ,  portray ,  supplement ,  graph ,  enact ,  picture ,  capture ,  parody ,  profile ,  set   | 0.0 | .1 | 30
queue 	   stand   | 0.0 | .1 | 1
debut 	   introduce ,  play ,  perform   | 0.0 | .1 | 3
armour 	   equip ,  fit ,  outfit   | 0.0 | .1 | 3
crop 	   cut ,  cultivate ,  work ,  fix ,  prepare ,  ready ,  set ,  bear ,  graze ,  feed ,  give ,  browse ,  range ,  eat ,  clip ,  trim ,  dress ,  poll ,  drift ,  pinch ,  top ,  grass   | 0.0 | .1 | 19
captivate* 	   capture ,  catch ,  beguile ,  charm ,  fascinate* ,  entrance ,  enchant ,  attract ,  appeal ,  hold ,  work   | 1.0 | .1 | 9
precede 	   forego ,  forgo ,  lie ,  lead ,  travel ,  go ,  move ,  introduce ,  state ,  say ,  tell ,  head   | 0.0 | .1 | 11
snake 	   glide ,  wind ,  twist ,  curve ,  weave ,  thread ,  wander   | 0.0 | .1 | 8
ticket 	   fine ,  book ,  supply ,  provide ,  furnish   | 0.0 | .1 | 5
contract 	   undertake ,  promise ,  assure* ,  sign ,  hire ,  engage ,  employ ,  squeeze ,  compact ,  press ,  tighten ,  shrink ,  decrease^ ,  diminish ,  lessen ,  fall ,  take ,  get ,  reduce ,  concentrate ,  change ,  alter ,  modify ,  narrow ,  shorten ,  cut ,  charter ,  choke^ ,  condition ,  fret ,  qualify ,  lease ,  prim ,  rent ,  catch ,  wrinkle ,  specify ,  strangle ,  stipulate ,  digest ,  bottleneck ,  purse ,  flex   | 0.0 | .1 | 31
strip 	   deprive ,  take ,  unclothe ,  peel ,  remove ,  withdraw ,  bare ,  clear ,  plunder ,  rifle ,  ransack ,  foray ,  clean ,  smooth ,  dismantle ,  milk ,  disinvest ,  orphan ,  tear ,  pull ,  pare ,  pluck ,  expropriate ,  skin   | 0.0 | .1 | 37
deposit 	   wedge ,  stick ,  fix ,  secure ,  bank ,  give ,  put ,  set ,  place ,  pose ,  position ,  lay ,  bury ,  sediment   | 0.0 | .1 | 13
reload 	   load ,  charge ,  lade ,  laden   | 0.0 | .1 | 5
allay 	   still ,  relieve ,  ease ,  comfort ,  soothe ,  console ,  solace ,  meet ,  satisfy ,  fill ,  fulfill ,  fulfil   | 0.0 | .1 | 12
trick 	    | 0.0 | .1 | 0
ring 	   sound ,  go ,  resound ,  echo ,  surround ,  circle ,  round ,  hold ,  bear ,  carry ,  contain ,  call ,  telephone ,  phone ,  band ,  attach ,  toll ,  cloister   | 0.0 | .1 | 19
whip 	   flog ,  lash ,  slash ,  strap ,  beat ,  worst ,  pip ,  crush ,  shell ,  vanquish ,  thrash ,  toss ,  strike ,  scramble ,  attack ,  round ,  assail ,  assault ,  switch   | 0.0 | .1 | 22
trend 	   sheer ,  curve ,  slew ,  cut ,  turn   | 0.0 | .1 | 5
freeze 	   turn ,  suffer ,  change ,  alter ,  modify ,  suspend ,  interrupt ,  break ,  solidify ,  block ,  withhold ,  act ,  behave ,  do ,  fixate   | 0.0 | .1 | 14
encourage* 	   promote ,  advance ,  boost ,  further ,  support ,  inspire ,  animate ,  induce ,  stimulate ,  cause ,  have ,  get ,  make ,  contribute* ,  spur ,  cheer ,  carry ,  foster ,  help ,  urge ,  nurture ,  feed ,  barrack ,  lead ,  exhort   | 1.0 | .1 | 13
adapt* 	   accommodate ,  change ,  alter ,  vary ,  adjust ,  conform ,  gear ,  tailor ,  match ,  square ,  wire ,  fit ,  cultivate ,  pitch ,  focus ,  tame ,  electrify ,  domesticate   | 1.0 | .1 | 7
engineer 	   design ,  plan ,  direct ,  organize ,  organise   | 0.0 | .1 | 6
